Scheme name	Locus tag	Description
cgMLST V1	b3961 (oxyR)	oxidative and nitrosative stress transcriptional regulator
cgMLST V1	b3960 (argH)	argininosuccinate lyase
cgMLST V1	b3963 (fabR)	transcriptional repressor of fabA and fabB
cgMLST V1	b3965 (trmA)	"tRNA m(5)U54 methyltransferase, SAM-dependent; tmRNA m(5)U341 methyltransferase "
cgMLST V1	b3964 (yijD)	DUF1422 family inner membrane protein
cgMLST V1	b3967 (murI)	glutamate racemase
cgMLST V1	b1866 (aspS)	aspartyl-tRNA synthetase
cgMLST V1	b1864 (yebC)	UPF0082 family protein
cgMLST V1	b1865 (nudB)	dihydroneopterin triphosphate pyrophosphatase
cgMLST V1	b1863 (ruvC)	"component of RuvABC resolvasome, endonuclease "
cgMLST V1	b1860 (ruvB)	"ATP-dependent DNA helicase, component of RuvABC resolvasome "
cgMLST V1	b1861 (ruvA)	"component of RuvABC resolvasome, regulatory subunit "
cgMLST V1	b1869 (yecN)	MAPEG family inner membrane protein
cgMLST V1	NCTC12129_00311 (glgP)	starch phosphorylase
cgMLST V1	b2898 (ygfZ)	"iron-sulfur cluster repair protein, plumbagin resistance"
cgMLST V1	b2899 (yqfA)	hemolysin III family HylIII inner membrane protein
cgMLST V1	b2892 (recJ)	"ssDNA exonuclease, 5' --> 3'-specific "
cgMLST V1	b2893 (dsbC)	protein disulfide isomerase II
cgMLST V1	b2896 (cptA)	toxin of CptAB toxin-antitoxin pair
cgMLST V1	b2897 (sdhE)	flavinator of succinate dehydrogenase; antitoxin of CptAB toxin-antitoxin pair
cgMLST V1	b2894 (xerD)	site-specific tyrosine recombinase
cgMLST V1	b2895 (fldB)	flavodoxin 2
cgMLST V1	b0195 (tsaA)	"tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent"
cgMLST V1	b2131 (osmF)	putative ABC superfamily transporter periplasmic-binding protein
cgMLST V1	b2130 (yehY)	inner membrane putative ABC superfamily transporter permease
cgMLST V1	b2133 (dld)	"D-lactate dehydrogenase, FAD-binding, NADH independent "
cgMLST V1	b2132 (bglX)	"beta-D-glucoside glucohydrolase, periplasmic "
cgMLST V1	b2135 (yohC)	Yip1 family inner membrane protein
cgMLST V1	b2136 (yohD)	DedA family inner membrane protein
cgMLST V1	b2512 (bamB)	BamABCDE complex OM biogenesis lipoprotein
cgMLST V1	b0151 (fhuC)	iron-hydroxamate transporter subunit
cgMLST V1	b0153 (fhuB)	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
cgMLST V1	b0152 (fhuD)	iron-hydroxamate transporter subunit
cgMLST V1	b0155 (clcA)	H(+)/Cl(-) exchange transporter
cgMLST V1	b0157 (yadS)	UPF0126 family inner membrane protein
cgMLST V1	b0156 (erpA)	iron-sulfur cluster insertion protein
cgMLST V1	b0159 (mtn)	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
cgMLST V1	b0158 (btuF)	vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily
cgMLST V1	b3183 (obgE)	GTPase involved in cell partioning and DNA repair
cgMLST V1	b3182 (dacB)	D-alanyl-D-alanine carboxypeptidase
cgMLST V1	b3181 (greA)	transcript cleavage factor
cgMLST V1	b3180 (yhbY)	RNA binding protein associated with pre-50S ribosomal subunits
cgMLST V1	b3187 (ispB)	octaprenyl diphosphate synthase
cgMLST V1	b3186 (rplU)	50S ribosomal subunit protein L21
cgMLST V1	b3185 (rpmA)	50S ribosomal subunit protein L27
cgMLST V1	b3184 (yhbE)	EamA family inner membrane putative transporter
cgMLST V1	b3189 (murA)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
cgMLST V1	b3188 (sfsB)	malPQ operon transcriptional activator
cgMLST V1	b3459 (panM)	"PanD autocleavage accelerator, panothenate synthesis"
cgMLST V1	b3451 (ugpE)	glycerol-3-phosphate transporter subunit
cgMLST V1	b3450 (ugpC)	glycerol-3-phosphate transporter subunit
cgMLST V1	b3452 (ugpA)	glycerol-3-phosphate transporter subunit
cgMLST V1	b3455 (livG)	leucine/isoleucine/valine transporter subunit
cgMLST V1	b3454 (livF)	leucine/isoleucine/valine transporter subunit
cgMLST V1	b3457 (livH)	leucine/isoleucine/valine transporter subunit
cgMLST V1	b3456 (livM)	leucine/isoleucine/valine transporter subunit
cgMLST V1	b4227 (ytfQ)	galactofuranose binding proteint: periplasmic-binding component of ABC superfamily
cgMLST V1	b0767 (pgl)	6-phosphogluconolactonase
cgMLST V1	b0764 (modB)	molybdate transporter subunit
cgMLST V1	b0765 (modC)	molybdate transporter subunit
cgMLST V1	b0763 (modA)	molybdate transporter subunit
cgMLST V1	b3124 (garK)	glycerate kinase I
cgMLST V1	b4220 (tamA)	"translocation and assembly module for autotransporter export, outer membrane subunit"
cgMLST V1	b0698 (kdpA)	"potassium translocating ATPase, subunit A "
cgMLST V1	b0699 (ybfA)	DUF2517 family protein
cgMLST V1	b4537 (yecJ)	uncharacterized protein
cgMLST V1	b4536 (yobH)	uncharacterized protein
cgMLST V1	b4535 (yniD)	uncharacterized protein
cgMLST V1	b1960 (vsr)	DNA mismatch endonuclease of very short patch repair
cgMLST V1	b3619 (hldD)	"ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding "
cgMLST V1	b3613 (envC)	"activator of AmiB,C murein hydrolases, septal ring factor"
cgMLST V1	b3612 (gpmM)	"phosphoglycero mutase III, cofactor-independent "
cgMLST V1	b3611 (yibN)	putative rhodanese-related sulfurtransferase
cgMLST V1	b3610 (grxC)	glutaredoxin 3
cgMLST V1	b3617 (kbl)	glycine C-acetyltransferase
cgMLST V1	b1712 (ihfA)	"integration host factor (IHF), DNA-binding protein, alpha subunit"
cgMLST V1	b2812 (tcdA)	tRNA threonylcarbamoyladenosine dehydratase; sulfur acceptor for CsdA
cgMLST V1	b2813 (mltA)	membrane-bound lytic murein transglycosylase A
cgMLST V1	b2811 (csdE)	CsdA-binding activator; Fe-S protein
cgMLST V1	b2817 (amiC)	N-acetylmuramoyl-L-alanine amidase
cgMLST V1	b2818 (argA)	fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase
cgMLST V1	b2819 (recD)	"exonuclease V (RecBCD complex), alpha chain "
cgMLST V1	b1738 (chbB)	"N,N'-diacetylchitobiose-specific enzyme IIB component of PTS "
cgMLST V1	b1739 (osmE)	osmotically-inducible lipoprotein
cgMLST V1	b1731 (cedA)	cell division modulator
cgMLST V1	b1736 (chbA)	"N,N'-diacetylchitobiose-specific enzyme IIA component of PTS "
cgMLST V1	b0042 (fixB)	"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"
cgMLST V1	b0047 (kefC)	potassium:proton antiporter
cgMLST V1	b0065 (yabI)	DedA family inner membrane protein
cgMLST V1	b0067 (thiP)	"thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer"
cgMLST V1	b0066 (thiQ)	"thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer"
cgMLST V1	b0060 (polB)	DNA polymerase II
cgMLST V1	b0063 (araB)	L-ribulokinase
cgMLST V1	b0062 (araA)	L-arabinose isomerase
cgMLST V1	b0068 (thiB)	"thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer"
cgMLST V1	b2672 (ygaM)	"DUF883 family protein, putative membrane-anchored ribosome-binding protein"
cgMLST V1	b3809 (dapF)	diaminopimelate epimerase
cgMLST V1	b3802 (hemY)	putative protoheme IX synthesis protein
cgMLST V1	b3800 (aslB)	putative AslA-specific sulfatase-maturating enzyme
cgMLST V1	b3806 (cyaA)	adenylate cyclase
cgMLST V1	b3804 (hemD)	uroporphyrinogen III synthase
cgMLST V1	b3805 (hemC)	hydroxymethylbilane synthase
cgMLST V1	b2997 (hybO)	"hydrogenase 2, small subunit "
cgMLST V1	b2996 (hybA)	hydrogenase 2 4Fe-4S ferredoxin-type component
cgMLST V1	b2995 (hybB)	putative hydrogenase 2 cytochrome b type component
cgMLST V1	b2994 (hybC)	"hydrogenase 2, large subunit "
cgMLST V1	b2993 (hybD)	maturation protease for hydrogenase 2
cgMLST V1	b2992 (hybE)	hydrogenase 2-specific chaperone
cgMLST V1	b2991 (hybF)	protein involved with the maturation of hydrogenases 1 and 2
cgMLST V1	b2990 (hybG)	hydrogenase 2 accessory protein
cgMLST V1	b2998 (yghW)	DUF2623 family protein
cgMLST V1	b0451 (amtB)	ammonium transporter
cgMLST V1	b0452 (tesB)	acyl-CoA thioesterase 2
cgMLST V1	b0453 (ybaY)	outer membrane lipoprotein
cgMLST V1	b0454 (ybaZ)	"excision repair protein, alkyltransferase-like protein ATL"
cgMLST V1	b0456 (ybaA)	DUF1428 family protein
cgMLST V1	b0457 (ylaB)	putative membrane-anchored cyclic-di-GMP phosphodiesterase
cgMLST V1	b0458 (ylaC)	DUF1449 family inner membrane protein
cgMLST V1	b0459 (maa)	maltose O-acetyltransferase
cgMLST V1	b3102 (yqjG)	putative S-transferase
cgMLST V1	b3101 (yqjF)	putative quinol oxidase subunit
cgMLST V1	b3100 (yqjK)	uncharacterized protein
cgMLST V1	b3107 (yhaL)	uncharacterized protein
cgMLST V1	b3106 (yhaK)	redox-sensitive bicupin
cgMLST V1	b3105 (yhaJ)	LysR family putative transcriptional regulator
cgMLST V1	b2762 (cysH)	"phosphoadenosine phosphosulfate reductase; PAPS reductase, thioredoxin dependent "
cgMLST V1	b2763 (cysI)	"sulfite reductase, beta subunit, NAD(P)-binding, heme-binding "
cgMLST V1	b2764 (cysJ)	"sulfite reductase, alpha subunit, flavoprotein "
cgMLST V1	b2765 (queD)	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)
cgMLST V1	b0612 (citT)	citrate:succinate antiporter
cgMLST V1	b0613 (citG)	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
cgMLST V1	b0610 (rnk)	regulator of nucleoside diphosphate kinase
cgMLST V1	b0611 (rna)	ribonuclease I
cgMLST V1	b0616 (citE)	"citrate lyase, citryl-ACP lyase (beta) subunit "
cgMLST V1	b0617 (citD)	"citrate lyase, acyl carrier (gamma) subunit "
cgMLST V1	b0614 (citX)	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
cgMLST V1	b0615 (citF)	"citrate lyase, citrate-ACP transferase (alpha) subunit "
cgMLST V1	b2562 (yfhL)	putative 4Fe-4S cluster-containing protein
cgMLST V1	b2563 (acpS)	holo-[acyl-carrier-protein] synthase 1
cgMLST V1	b2560 (pgpC)	"phosphatidylglycerophosphatase C, membrane bound"
cgMLST V1	b2561 (yfhH)	putative DNA-binding transcriptional regulator
cgMLST V1	b2566 (era)	"membrane-associated, 16S rRNA-binding GTPase"
cgMLST V1	b2567 (rnc)	RNase III
cgMLST V1	b2564 (pdxJ)	pyridoxine 5'-phosphate synthase
cgMLST V1	b2565 (recO)	gap repair protein
cgMLST V1	b2568 (lepB)	leader peptidase (signal peptidase I)
cgMLST V1	b2569 (lepA)	"back-translocating elongation factor EF4, GTPase"
cgMLST V1	b1208 (ispE)	4-diphosphocytidyl-2-C-methylerythritol kinase
cgMLST V1	b1209 (lolB)	lipoprotein localization factor
cgMLST V1	b1203 (ychF)	"catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated"
cgMLST V1	b1206 (dauA)	C4-dicarboxylic acid transporter
cgMLST V1	b1207 (prs)	phosphoribosylpyrophosphate synthase
cgMLST V1	b1204 (pth)	peptidyl-tRNA hydrolase
cgMLST V1	b1205 (ychH)	DUF2583 family putative inner membrane protein
cgMLST V1	b4078 (yjcO)	Sel1 family TPR-like repeat protein
cgMLST V1	b4072 (nrfC)	"formate-dependent nitrite reductase, 4Fe4S subunit"
cgMLST V1	b4073 (nrfD)	"formate-dependent nitrite reductase, membrane subunit"
cgMLST V1	b4070 (nrfA)	"nitrite reductase, formate-dependent, cytochrome"
cgMLST V1	b4071 (nrfB)	"nitrite reductase, formate-dependent, penta-heme cytochrome c "
cgMLST V1	b4076 (nrfG)	"heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG"
cgMLST V1	b4077 (gltP)	glutamate/aspartate:proton symporter
cgMLST V1	b4074 (nrfE)	"heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfE"
cgMLST V1	b4075 (nrfF)	"heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF"
cgMLST V1	b0807 (rlmF)	"23S rRNA m(6)A1618 methyltransferase, SAM-dependent"
cgMLST V1	b3318 (rplW)	50S ribosomal subunit protein L23
cgMLST V1	b3319 (rplD)	50S ribosomal subunit protein L4
cgMLST V1	b3312 (rpmC)	50S ribosomal subunit protein L29
cgMLST V1	b3313 (rplP)	50S ribosomal subunit protein L16
cgMLST V1	b3310 (rplN)	50S ribosomal subunit protein L14
cgMLST V1	b3311 (rpsQ)	30S ribosomal subunit protein S17
cgMLST V1	b3316 (rpsS)	30S ribosomal subunit protein S19
cgMLST V1	b3317 (rplB)	50S ribosomal subunit protein L2
cgMLST V1	b3314 (rpsC)	30S ribosomal subunit protein S3
cgMLST V1	b3315 (rplV)	50S ribosomal subunit protein L22
cgMLST V1	b0800 (ybiB)	putative family 3 glycosyltransferase
cgMLST V1	b1045 (ymdB)	O-acetyl-ADP-ribose deacetylase; RNase III inhibitor during cold shock; putative cardiolipin synthase C regulatory subunit
cgMLST V1	b1046 (clsC)	stationary phase cardiolipin synthase 3
cgMLST V1	b1047 (opgC)	osmoregulated periplasmic glucan succinylation membrane protein
cgMLST V1	b1048 (opgG)	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein
cgMLST V1	b1049 (opgH)	"membrane glycosyltransferase; nutrient-dependent cell size regulator, FtsZ assembly antagonist"
cgMLST V1	b0796 (ybiH)	DUF1956 domain-containing tetR family putative transcriptional regulator
cgMLST V1	b0795 (ybhG)	"putative membrane fusion protein (MFP) component of efflux pump, membrane anchor"
cgMLST V1	b0793 (ybhS)	inner membrane putative ABC superfamily transporter permease
cgMLST V1	b0792 (ybhR)	inner membrane putative ABC superfamily transporter permease
cgMLST V1	b0791 (ybhQ)	inner membrane protein
cgMLST V1	b0790 (ybhP)	endo/exonuclease/phosphatase family protein
cgMLST V1	b0799 (dinG)	ATP-dependent DNA helicase
cgMLST V1	b3554 (yiaF)	barrier effect co-colonization resistance factor; DUF3053 family lipoprotein
cgMLST V1	b3555 (yiaG)	HTH_CROC1 family putative transcriptional regulator
cgMLST V1	b3550 (yiaC)	putative acyl-CoA transferase
cgMLST V1	b3551 (bisC)	biotin sulfoxide reductase
cgMLST V1	b3552 (yiaD)	multicopy suppressor of bamB; outer membrane lipoprotein
cgMLST V1	b3553 (ghrB)	glyoxylate/hydroxypyruvate reductase B
cgMLST V1	b3559 (glyS)	"glycine tRNA synthetase, beta subunit "
cgMLST V1	b2687 (luxS)	S-ribosylhomocysteine lyase
cgMLST V1	b2686 (emrB)	multidrug efflux system protein
cgMLST V1	b2685 (emrA)	multidrug efflux system
cgMLST V1	b2684 (mprA)	transcriptional repressor of microcin B17 synthesis and multidrug efflux
cgMLST V1	b2683 (ygaH)	"putative L-valine exporter, norvaline resistance protein"
cgMLST V1	b2682 (ygaZ)	"putative L-valine exporter, norvaline resistance protein"
cgMLST V1	b1290 (sapF)	antimicrobial peptide transport ABC system ATP-binding protein
cgMLST V1	b2689 (yqaA)	COG1238 family inner membrane protein
cgMLST V1	b2688 (gshA)	glutamate-cysteine ligase
cgMLST V1	b3886 (yihY)	"BrkB family putative transporter, inner membrane protein"
cgMLST V1	b3887 (dtd)	D-tyr-tRNA(Tyr) deacylase
cgMLST V1	b3885 (yihX)	"alpha-D-Glucose-1-P phosphatase, anomer-specific"
cgMLST V1	b3888 (yiiD)	putative acetyltransferase
cgMLST V1	b0961 (yccF)	DUF307 family inner membrane protein
cgMLST V1	b0962 (helD)	DNA helicase IV
cgMLST V1	b0963 (mgsA)	methylglyoxal synthase
cgMLST V1	b0964 (yccT)	UPF0319 family protein
cgMLST V1	b0965 (yccU)	putative CoA-binding protein
cgMLST V1	b0966 (hspQ)	heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein
cgMLST V1	b0967 (rlmI)	"23S rRNA m(5)C1962 methyltransferase, SAM-dependent"
cgMLST V1	b0968 (yccX)	weak acylphosphatase
cgMLST V1	b0969 (tusE)	mnm(5)-s(2)U34-tRNA 2-thiolation sulfurtransferase
cgMLST V1	NCTC12129_03503 (-)	lysM domain protein
cgMLST V1	b2914 (rpiA)	"ribose 5-phosphate isomerase, constitutive "
cgMLST V1	b2913 (serA)	D-3-phosphoglycerate dehydrogenase
cgMLST V1	b2912 (fau)	5-formyltetrahydrofolate cyclo-ligase family protein
cgMLST V1	b2910 (zapA)	FtsZ stabilizer
cgMLST V1	b4407 (thiS)	immediate sulfur donor in thiazole formation
cgMLST V1	b0187 (yaeR)	putative lyase
cgMLST V1	b0184 (dnaE)	DNA polymerase III alpha subunit
cgMLST V1	b0185 (accA)	"acetyl-CoA carboxylase, carboxytransferase, alpha subunit "
cgMLST V1	b4403 (yjtD)	putative methyltransferase
cgMLST V1	b0183 (rnhB)	"ribonuclease HII, degrades RNA of DNA-RNA hybrids "
cgMLST V1	b0180 (fabZ)	(3R)-hydroxymyristol acyl carrier protein dehydratase
cgMLST V1	b0181 (lpxA)	UDP-N-acetylglucosamine acetyltransferase
cgMLST V1	b0189 (rof)	modulator of Rho-dependent transcription termination
cgMLST V1	b4606 (ypfM)	stress-induced small enterobacterial protein
cgMLST V1	b0238 (gpt)	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase
cgMLST V1	b0239 (frsA)	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity
cgMLST V1	b0234 (yafP)	putative acyl-CoA transferase
cgMLST V1	b4601 (ydgU)	stationary phase-induced protein
cgMLST V1	b0237 (pepD)	aminoacyl-histidine dipeptidase (peptidase D)
cgMLST V1	b0231 (dinB)	DNA polymerase IV
cgMLST V1	b2272 (yfbM)	DUF1877 family protein
cgMLST V1	b2276 (nuoN)	"NADH:ubiquinone oxidoreductase, membrane subunit N"
cgMLST V1	b2277 (nuoM)	"NADH:ubiquinone oxidoreductase, membrane subunit M"
cgMLST V1	b2278 (nuoL)	"NADH:ubiquinone oxidoreductase, membrane subunit L"
cgMLST V1	b2279 (nuoK)	"NADH:ubiquinone oxidoreductase, membrane subunit K"
cgMLST V1	ECs0267 (crl)	DNA-binding transcriptional regulator Crl
cgMLST V1	b2496 (hda)	ATPase regulatory factor involved in DnaA inactivation
cgMLST V1	b2497 (uraA)	uracil permease
cgMLST V1	b2494 (bepA)	periplasmic metalloprotease and chaperone for OM protein maintenance and assembly
cgMLST V1	b2495 (yfgD)	putative oxidoreductase
cgMLST V1	b2493 (yfgO)	putative UPF0118 family inner membrane permease
cgMLST V1	b2498 (upp)	uracil phosphoribosyltransferase
cgMLST V1	b2499 (purM)	phosphoribosylaminoimidazole synthetase
cgMLST V1	b1918 (yecS)	ABC family putative inner membrane permease
cgMLST V1	b1919 (dcyD)	"D-cysteine desulfhydrase, PLP-dependent "
cgMLST V1	b1912 (pgsA)	phosphatidylglycerophosphate synthetase
cgMLST V1	b1913 (uvrC)	"excinuclease UvrABC, endonuclease subunit"
cgMLST V1	b1917 (yecC)	putative ABC superfamily transporter ATP-binding subunit
cgMLST V1	b1914 (uvrY)	response regulator in two-component regulatory system with BarA
cgMLST V1	b1915 (yecF)	DUF2594 family protein
cgMLST V1	b3073 (patA)	"putrescine:2-oxoglutaric acid aminotransferase, PLP-dependent "
cgMLST V1	b3072 (aer)	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component
cgMLST V1	b3070 (yqjH)	putative siderophore interacting protein
cgMLST V1	C_RS24040 (-)	spermidine/putrescine ABC transporter substrate-binding protein
cgMLST V1	b1282 (yciH)	"initiation factor function partial mimic, SUI1 family"
cgMLST V1	b1283 (osmB)	lipoprotein
cgMLST V1	b1280 (yciM)	envelope integrity maintenance protein; EnvC-interacting protein
cgMLST V1	b1281 (pyrF)	orotidine-5'-phosphate decarboxylase
cgMLST V1	b1286 (rnb)	ribonuclease II
cgMLST V1	b1287 (yciW)	putative oxidoreductase
cgMLST V1	b1284 (yciT)	global regulator of transcription; DeoR family
cgMLST V1	b1288 (fabI)	"enoyl-[acyl-carrier-protein] reductase, NADH-dependent "
cgMLST V1	b0887 (cydD)	"fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component"
cgMLST V1	b0886 (cydC)	"fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component"
cgMLST V1	b0884 (infA)	translation initiation factor IF-1
cgMLST V1	b0881 (clpS)	regulatory protein for ClpA substrate specificity
cgMLST V1	b0880 (cspD)	"inhibitor of DNA replication, cold shock protein homolog"
cgMLST V1	b0889 (lrp)	leucine-responsive global transcriptional regulator
cgMLST V1	b0888 (trxB)	"thioredoxin reductase, FAD/NAD(P)-binding "
cgMLST V1	b1426 (ydcH)	DUF465 family protein
cgMLST V1	b1424 (opgD)	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein
cgMLST V1	b1422 (ydcI)	putative DNA-binding transcriptional regulator
cgMLST V1	b1423 (ydcJ)	putative metalloenzyme
cgMLST V1	b1428 (ydcK)	uncharacterized protein
cgMLST V1	b1429 (tehA)	potassium-tellurite ethidium and proflavin transporter
cgMLST V1	b1606 (folM)	"dihydromonapterin reductase, NADPH-dependent; dihydrofolate reductase isozyme "
cgMLST V1	b1604 (ydgH)	DUF1471 family periplasmic protein
cgMLST V1	b1602 (pntB)	"pyridine nucleotide transhydrogenase, beta subunit "
cgMLST V1	b1600 (mdtJ)	multidrug efflux system transporter
cgMLST V1	b4613 (dinQ)	"UV-inducible membrane toxin, DinQ-AgrB type I toxin-antitoxin system"
cgMLST V1	b3064 (tsaD)	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; glycation binding protein
cgMLST V1	b3065 (rpsU)	30S ribosomal subunit protein S21
cgMLST V1	b3066 (dnaG)	DNA primase
cgMLST V1	b3067 (rpoD)	"RNA polymerase, sigma 70 (sigma D) factor"
cgMLST V1	b3061 (ttdA)	"L-tartrate dehydratase, alpha subunit "
cgMLST V1	b3062 (ttdB)	"L-tartrate dehydratase, beta subunit "
cgMLST V1	b3063 (ttdT)	L-tartrate/succinate antiporte
cgMLST V1	b3068 (mug)	G/U mismatch-specific DNA glycosylase; xanthine DNA glycosylase
cgMLST V1	b3392 (hofP)	DNA catabolic protein
cgMLST V1	b3390 (aroK)	shikimate kinase I
cgMLST V1	b3396 (mrcA)	fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase
cgMLST V1	b3397 (nudE)	"adenosine nucleotide hydrolase; substrates include Ap3A, Ap2A, ADP-ribose, NADH "
cgMLST V1	b3394 (hofN)	DNA catabolic putative fimbrial assembly protein
cgMLST V1	b3395 (hofM)	DNA catabolic putative pilus assembly protein
cgMLST V1	b3398 (yrfF)	inner membrane protein
cgMLST V1	b3399 (yrfG)	GMP/IMP nucleotidase
cgMLST V1	b3936 (rpmE)	50S ribosomal subunit protein L31
cgMLST V1	b3937 (yiiX)	"putative lipid binding hydrolase, DUF830 family protein"
cgMLST V1	b3934 (cytR)	Anti-activator for CytR-CRP nucleoside utilization regulon
cgMLST V1	b3935 (priA)	Primosome factor n' (replication factor Y)
cgMLST V1	b3932 (hslV)	peptidase component of the HslUV protease
cgMLST V1	b3933 (ftsN)	essential cell division protein
cgMLST V1	b3930 (menA)	"1,4-dihydroxy-2-naphthoate octaprenyltransferase "
cgMLST V1	b3931 (hslU)	molecular chaperone and ATPase component of HslUV protease
cgMLST V1	b3938 (metJ)	"transcriptional repressor, S-adenosylmethionine-binding"
cgMLST V1	b3939 (metB)	"cystathionine gamma-synthase, PLP-dependent "
cgMLST V1	b0715 (abrB)	regulator of aidB expression; inner membrane protein
cgMLST V1	b0714 (nei)	endonuclease VIII/5-formyluracil/5-hydroxymethyluracil DNA glycosylase
cgMLST V1	b0713 (ybgL)	UPF0271 family protein
cgMLST V1	b0712 (ybgK)	"putative allophanate hydrolase, subunit 2"
cgMLST V1	b0711 (ybgJ)	"putative allophanate hydrolase, subunit 1"
cgMLST V1	b0710 (ybgI)	NIF3 family metal-binding protein
cgMLST V1	b2609 (rpsP)	30S ribosomal subunit protein S16
cgMLST V1	b2608 (rimM)	16S rRNA processing protein
cgMLST V1	b2607 (trmD)	"tRNA m(1)G37 methyltransferase, SAM-dependent "
cgMLST V1	b2606 (rplS)	50S ribosomal subunit protein L19
cgMLST V1	b2605 (yfiB)	OM lipoprotein putative positive effector of YfiN activity
cgMLST V1	b2603 (yfiR)	putative periplasmic inhibitor of YfiN activity
cgMLST V1	b2602 (yfiL)	lipoprotein
cgMLST V1	b2601 (aroF)	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible "
cgMLST V1	b2600 (tyrA)	fused chorismate mutase T/prephenate dehydrogenase
cgMLST V1	b4137 (cutA)	"divalent-cation tolerance protein, copper sensitivity"
cgMLST V1	b4136 (dsbD)	fused thiol:disulfide interchange protein: activator of DsbC/conserved protein
cgMLST V1	b4135 (yjdC)	putative transcriptional regulator
cgMLST V1	b4139 (aspA)	aspartate ammonia-lyase
cgMLST V1	b4138 (dcuA)	C4-dicarboxylate antiporter
cgMLST V1	b3213 (gltD)	"glutamate synthase, 4Fe-4S protein, small subunit "
cgMLST V1	b3212 (gltB)	"glutamate synthase, large subunit "
cgMLST V1	b3211 (yhcC)	"putative Fe-S oxidoreductase, Radical SAM superfamily protein"
cgMLST V1	b3210 (arcB)	"aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB"
cgMLST V1	b2167 (fruA)	fused fructose-specific PTS enzymes: IIBcomponent/IIC components
cgMLST V1	b2165 (psuG)	pseudouridine 5'-phosphate glycosidase
cgMLST V1	b2160 (yeiI)	putative kinase
cgMLST V1	b2168 (fruK)	fructose-1-phosphate kinase
cgMLST V1	b2169 (fruB)	fused fructose-specific PTS enzymes: IIA component/HPr component
cgMLST V1	b0182 (lpxB)	tetraacyldisaccharide-1-P synthase
cgMLST V1	b1378 (pfo)	pyruvate-flavodoxin oxidoreductase
cgMLST V1	b1679 (sufE)	sulfur acceptor protein
cgMLST V1	b1678 (ldtE)	"murein L,D-transpeptidase"
cgMLST V1	b1677 (lpp)	murein lipoprotein
cgMLST V1	b1676 (pykF)	pyruvate kinase I
cgMLST V1	b1675 (ydhZ)	uncharacterized protein
cgMLST V1	b0108 (ppdD)	putative prepilin peptidase-dependent pilin
cgMLST V1	b0109 (nadC)	quinolinate phosphoribosyltransferase
cgMLST V1	b0106 (hofC)	"assembly protein in type IV pilin biogenesis, transmembrane protein"
cgMLST V1	b0104 (guaC)	GMP reductase
cgMLST V1	b4484 (cpxP)	inhibitor of the cpx response; periplasmic adaptor protein
cgMLST V1	b4483 (tatD)	quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase
cgMLST V1	b0103 (coaE)	dephospho-CoA kinase
cgMLST V1	b4481 (wecF)	TDP-Fuc4NAc:lipidIIFuc4NAc transferase
cgMLST V1	b0101 (yacG)	DNA gyrase inhibitor
cgMLST V1	b3769 (ilvM)	acetolactate synthase 2 small subunit
cgMLST V1	b3766 (ilvL)	ilvG operon leader peptide
cgMLST V1	b3764 (yifE)	UPF0438 family protein
cgMLST V1	b2418 (pdxK)	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
cgMLST V1	b2417 (crr)	glucose-specific enzyme IIA component of PTS
